WKT,OBJECTID,COD_ESTACI,COD_PARAME,PromedioDe,valoracion,UTMX,UTMY,HUSO,NOM_DEMARC,unidades
"POINT (189695.110392392 4711073.05409665)","1",NO01910012,PTOTAL,0.02500000000,< Valor frontera,"682796","4706559","29",CHMS,mg P/l
"POINT (478404.000005002 4525915.99998895)","2",TA48504002,PTOTAL,0.05190000000,< Valor frontera,"478404","4525916","30",CHT,mg P/l
"POINT (580459.000014836 4488683.99995405)","3",TA53901005,PTOTAL,0.00667500000,< Valor frontera,"580459","4488684","30",CHT,mg P/l
"POINT (631967.999971198 4298341.00004928)","4",LCRW,PTOTAL,0.09090000093,< Valor frontera,"631968","4298341","30",CHS,mg P/l
"POINT (697304.000024614 4228231.99999205)","5",LHOPON,PTOTAL,0.11499999985,> Valor frontera,"697304","4228232","30",CHS,mg P/l
"POINT (625038.999956712 4300532.00003592)","6",LPEN,PTOTAL,0.44181817770,> Valor frontera,"625039","4300532","30",CHS,mg P/l
"POINT (770100.000042038 4448348.99996551)","7",JU283,PTOTAL,0.04740000078,< Valor frontera,"770100","4448349","30",CHJ,mg P/l
"POINT (740994.999972394 4404008.99998826)","8",JU284,PTOTAL,0.09174999921,> Valor frontera,"740995","4404009","30",CHJ,mg P/l
"POINT (735902.999962132 4390523.99995462)","9",JU285,PTOTAL,0.12099999748,> Valor frontera,"735903","4390524","30",CHJ,mg P/l
"POINT (732652.999992348 4381930.99998222)","10",JU286,PTOTAL,0.08449999895,> Valor frontera,"732653","4381931","30",CHJ,mg P/l
"POINT (729844.999968612 4357709.99998109)","11",JU287,PTOTAL,0.11468750052,> Valor frontera,"729845","4357710","30",CHJ,mg P/l
"POINT (587281.000040792 4453278.00002383)","12",JU288,PTOTAL,0.01574999990,< Valor frontera,"587281","4453278","30",CHJ,mg P/l
"POINT (555472.000009558 4289666.99999696)","13",JU289,PTOTAL,0.01599999994,< Valor frontera,"555472","4289667","30",CHJ,mg P/l
"POINT (554503.000020107 4295678.999951)","14",JU290,PTOTAL,0.01924999995,< Valor frontera,"554503","4295679","30",CHJ,mg P/l
"POINT (606901.999990383 4286414.00003567)","15",JU291,PTOTAL,0.07100000046,> Valor frontera,"606902","4286414","30",CHJ,mg P/l
"POINT (582690.00002135 4425170.00004228)","16",JU292,PTOTAL,0.01799999980,< Valor frontera,"582690","4425170","30",CHJ,mg P/l
"POINT (596121.000036114 4426980.00002388)","17",JU293,PTOTAL,0.01924999960,< Valor frontera,"596121","4426980","30",CHJ,mg P/l
"POINT (572735.00002399 4427724.99999965)","18",JU294,PTOTAL,0.01750000019,< Valor frontera,"572735","4427725","30",CHJ,mg P/l
"POINT (613566.000018145 4449489.00002713)","19",JU295,PTOTAL,0.04474999901,> Valor frontera,"613566","4449489","30",CHJ,mg P/l
"POINT (753990.000015887 4306991.99999555)","20",JU297,PTOTAL,0.02924999926,< Valor frontera,"753990","4306992","30",CHJ,mg P/l
"POINT (715515.999957071 4236361.99998594)","21",JU298,PTOTAL,0.32150000520,> Valor frontera,"715516","4236362","30",CHJ,mg P/l
"POINT (731509.999977569 4347875.99995458)","22",JU385,PTOTAL,0.02050000016,< Valor frontera,"731510","4347876","30",CHJ,mg P/l
"POINT (581856.000033813 4424934.00001513)","23",JU386,PTOTAL,0.01000000000,< Valor frontera,"581856","4424934","30",CHJ,mg P/l
"POINT (733835.000044937 4329390.00001114)","24",JU418,PTOTAL,0.06700000074,> Valor frontera,"733835","4329390","30",CHJ,mg P/l
"POINT (788713.000030753 4474267.99995286)","25",JU543,PTOTAL,0.01350000005,< Valor frontera,"788713","4474268","30",CHJ,mg P/l
"POINT (747599.999999977 4413236.00001356)","26",JU544,PTOTAL,0.10025000013,> Valor frontera,"747600","4413236","30",CHJ,mg P/l
"POINT (713046.000015448 4335818.00001179)","27",JU545,PTOTAL,0.06999999855,> Valor frontera,"713046","4335818","30",CHJ,mg P/l
"POINT (734556.999988009 4631103.99997787)","28",EBL0968,PTOTAL,0.03697500000,< Valor frontera,"734557","4631104","30",CHE,mg P/l
"POINT (672358.999994793 4619164.99998356)","29",EBL0973,PTOTAL,0.05920000000,< Valor frontera,"672359","4619165","30",CHE,mg P/l
"POINT (686105.000022101 4608342.00000572)","30",EBL0976,PTOTAL,0.01514500000,< Valor frontera,"686105","4608342","30",CHE,mg P/l
"POINT (797107.999958636 4727136.00000848)","31",EBL0983,PTOTAL,0.01570000000,> Valor frontera,"797108","4727136","30",CHE,mg P/l
"POINT (626442.999981005 4536625.99997796)","32",EBL0984,PTOTAL,0.04263333333,< Valor frontera,"626443","4536626","30",CHE,mg P/l
"POINT (739721.999983329 4569155.00003732)","33",EBL0985,PTOTAL,0.00978000000,< Valor frontera,"739722","4569155","30",CHE,mg P/l
"POINT (735125.999979568 4547522.99997113)","34",EBL0988,PTOTAL,0.05735000000,< Valor frontera,"735126","4547523","30",CHE,mg P/l
"POINT (735062.999981053 4589405.99998785)","35",EBL0989,PTOTAL,0.02620000000,< Valor frontera,"735063","4589406","30",CHE,mg P/l
"POINT (736122.999964552 4569377.99996624)","36",EBL0990,PTOTAL,0.17912500000,> Valor frontera,"736123","4569378","30",CHE,mg P/l
"POINT (768947.999978946 4729111.99996508)","37",EBL1001,PTOTAL,0.02080000000,> Valor frontera,"768948","4729112","30",CHE,mg P/l
"POINT (549340.999994035 4703970.99998156)","38",EBL1007,PTOTAL,0.01300750000,< Valor frontera,"549341","4703971","30",CHE,mg P/l
"POINT (819375.000020099 4718331.00000351)","39",EBL1012,PTOTAL,0.00480000000,< Valor frontera,"819375","4718331","30",CHE,mg P/l
"POINT (792260.000006238 4659200.000024)","40",EBL1014,PTOTAL,0.00686750000,< Valor frontera,"792260","4659200","30",CHE,mg P/l
"POINT (616716.999981139 4696835.99999893)","41",EBL1016,PTOTAL,0.04142500000,< Valor frontera,"616717","4696836","30",CHE,mg P/l
"POINT (494946.999977477 4655337.99999119)","42",EBL1017,PTOTAL,0.03350000000,> Valor frontera,"494947","4655338","30",CHE,mg P/l
"POINT (500909.000014275 4736393.00001562)","43",EBL1019,PTOTAL,0.00753500000,< Valor frontera,"500909","4736393","30",CHE,mg P/l
"POINT (749131.000041986 4731685.00002906)","44",EBL1027,PTOTAL,0.01530000000,> Valor frontera,"749131","4731685","30",CHE,mg P/l
"POINT (829248.000039548 4694444.00002675)","45",EBL1029,PTOTAL,0.00370750000,< Valor frontera,"829248","4694444","30",CHE,mg P/l
"POINT (611762.000003667 4649215.00001538)","46",EBL1035,PTOTAL,0.00937500000,< Valor frontera,"611762","4649215","30",CHE,mg P/l
"POINT (611666.999988486 4732192.99999077)","47",EBL1677,PTOTAL,0.33426750000,> Valor frontera,"611667","4732193","30",CHE,mg P/l
"POINT (345814.999966532 4649481.00003303)","48","210011",PTOTAL,0.02500000000,< Valor frontera,"345815","4649481","30",CHD,mg P/l
"POINT (306305.999979006 4458130.99997748)","49","210186",PTOTAL,0.01003333333,< Valor frontera,"306306","4458131","30",CHD,mg P/l
"POINT (187036.000018833 4678661.99996077)","50","210189",PTOTAL,0.00930000000,< Valor frontera,"187036","4678662","30",CHD,mg P/l
"POINT (354805.999977907 4658586.99999368)","51","210191",PTOTAL,0.02500000000,< Valor frontera,"354806","4658587","30",CHD,mg P/l
"POINT (191894.999998477 4669847.0000314)","52","210203",PTOTAL,0.00832500000,< Valor frontera,"191895","4669847","30",CHD,mg P/l
"POINT (336991.999982165 4101872.99998273)","53",MA00000030,PTOTAL,0.56500000000,No se puede evaluar,"336992","4101873","30",CMA,mg P/l
"POINT (343446.000024292 4108132.00000804)","54",MA00000614,PTOTAL,2.31125000000,> Valor frontera,"343446","4108132","30",CMA,mg P/l
"POINT (504857.999986766 4067382.99996317)","55",MA00000615,PTOTAL,0.12012500000,> Valor frontera,"504858","4067383","30",CMA,mg P/l
"POINT (335890.999958914 4100294.0000341)","56",MA00MD0143,PTOTAL,0.05200000000,< Valor frontera,"335891","4100294","30",CMA,mg P/l
"POINT (522974.99999339 4068254.99996372)","57",MA00MD0200,PTOTAL,0.06250000000,No se puede evaluar,"522975","4068255","30",CMA,mg P/l
"POINT (975997.999966117 4679279.99999643)","58","045040100",PTOTAL,0.00980000000,< Valor frontera,"975998","4679280","30",CIC,mg P/l
"POINT (1003659.99996702 4700012.00004625)","59",H100201000,PTOTAL,0.82900000000,> Valor frontera,"1003660","4700012","30",CIC,mg P/l
"POINT (1005455.99997271 4698636.99996943)","60",H100202000,PTOTAL,1.77750000000,> Valor frontera,"1005456","4698637","30",CIC,mg P/l
"POINT (1005274.99999417 4697940.0000151)","61",H100203000,PTOTAL,0.26850000000,> Valor frontera,"1005275","4697940","30",CIC,mg P/l
"POINT (1010472.00002751 4667620.00004672)","62",H100601000,PTOTAL,0.14800000000,> Valor frontera,"1010472","4667620","30",CIC,mg P/l
"POINT (987389.999952234 4694467.00000812)","63",H103005000,PTOTAL,0.12400000000,> Valor frontera,"987390","4694467","30",CIC,mg P/l
"POINT (1003010.0000025 4692822.99996681)","64",H103010000,PTOTAL,0.16750000000,> Valor frontera,"1003010","4692823","30",CIC,mg P/l
"POINT (1002476.99996336 4687509.99999948)","65",H104001000,PTOTAL,0.16450000000,> Valor frontera,"1002477","4687510","30",CIC,mg P/l
"POINT (969587.999989908 4679959.00004176)","66",H104003000,PTOTAL,0.03250000000,> Valor frontera,"969588","4679959","30",CIC,mg P/l
"POINT (969770.999964366 4678665.99999603)","67",H104004000,PTOTAL,0.51650000000,> Valor frontera,"969771","4678666","30",CIC,mg P/l
"POINT (977163.999981664 4643756.00001644)","68",H105001000,PTOTAL,0.13000000000,> Valor frontera,"977164","4643756","30",CIC,mg P/l
"POINT (973833.99996242 4637282.0000271)","69",H105002000,PTOTAL,0.34000000000,> Valor frontera,"973834","4637282","30",CIC,mg P/l
"POINT (974482.999957311 4634377.99998504)","70",H105003000,PTOTAL,0.75100000000,> Valor frontera,"974483","4634378","30",CIC,mg P/l
"POINT (976196.000003478 4633299.0000181)","71",H105005000,PTOTAL,0.19550000000,> Valor frontera,"976196","4633299","30",CIC,mg P/l
"POINT (974587.000002681 4632130.99995099)","72",H105006000,PTOTAL,1.11750000000,> Valor frontera,"974587","4632131","30",CIC,mg P/l
"POINT (1010754.00001271 4700412.99995947)","73",H150002000,PTOTAL,0.04350000000,< Valor frontera,"1010754","4700413","30",CIC,mg P/l
"POINT (850923.000014787 4556062.9999773)","74",H190001000,PTOTAL,0.02450000000,< Valor frontera,"850923","4556063","30",CIC,mg P/l
"POINT (428529.000010689 4804134.99998512)","75",NO00340010,PTOTAL,0.02350000000,No se puede evaluar,"428529","4804135","30",CHCOcc,mg P/l
"POINT (244264.999993721 4770523.0000122)","76",NO00770004,PTOTAL,0.02500000000,No se puede evaluar,"244265","4770523","30",CHCOcc,mg P/l
"POINT (510474.000020752 4757583.99995446)","77",MOR-H,PTOTAL,0.06000000000,> Valor frontera,"510474","4757584","30",CHCOr,mg P/l
"POINT (450983.000025279 4198492.00003073)","78",GV90001,PTOTAL,0.12833333333,> Valor frontera,"450983","4198492","30",CHGv,mg P/l
"POINT (398200.999954541 4163601.00000948)","79",GV90002,PTOTAL,0.05100000000,< Valor frontera,"398201","4163601","30",CHGv,mg P/l
"POINT (399051.999987734 4161816.99996231)","80",GV90003,PTOTAL,0.04000000000,< Valor frontera,"399052","4161817","30",CHGv,mg P/l
"POINT (350190.000019708 4149635.00003214)","81",GV90005,PTOTAL,0.03750000000,< Valor frontera,"350190","4149635","30",CHGv,mg P/l
"POINT (356020.000004327 4147078.99997455)","82",GV90007,PTOTAL,0.04700000000,> Valor frontera,"356020","4147079","30",CHGv,mg P/l
"POINT (338694.999987914 4144056.00004127)","83",GV90008,PTOTAL,0.12900000000,> Valor frontera,"338695","4144056","30",CHGv,mg P/l
"POINT (357002.999967922 4131400.00004905)","84",GV90009,PTOTAL,0.04600000000,< Valor frontera,"357003","4131400","30",CHGv,mg P/l
"POINT (356938.999959557 4130964.99996207)","85",GV90010,PTOTAL,0.02975000000,< Valor frontera,"356939","4130965","30",CHGv,mg P/l
"POINT (327153.999990989 4111017.0000091)","86",GV90013,PTOTAL,0.04300000000,< Valor frontera,"327154","4111017","30",CHGv,mg P/l
"POINT (250869.99997097 4102286.99997943)","87",GV90014,PTOTAL,0.08350000000,< Valor frontera,"250870","4102287","30",CHGv,mg P/l
"POINT (239909.00001212 4087079.0000091)","88",GV90020,PTOTAL,0.10050000000,> Valor frontera,"239909","4087079","30",CHGv,mg P/l
"POINT (244537.999969857 4083967.00000315)","89",GV90021,PTOTAL,0.15400000000,> Valor frontera,"244538","4083967","30",CHGv,mg P/l
"POINT (230945.999976756 4081805.99998763)","90",GV90023,PTOTAL,0.02700000000,< Valor frontera,"230946","4081806","30",CHGv,mg P/l
"POINT (229077.999990298 4094637.00004784)","91",GV90024,PTOTAL,0.08720000000,< Valor frontera,"229078","4094637","30",CHGv,mg P/l
"POINT (204072.000000861 4118704.00000555)","92",GV90025,PTOTAL,0.97000000000,Sin valoración,"204072","4118704","30",CHGv,mg P/l
"POINT (197576.000024314 4119581.99997429)","93",GV90026,PTOTAL,0.27000000000,> Valor frontera,"197576","4119582","30",CHGv,mg P/l
"POINT (213626.000038652 4096010.99995206)","94",GV90028,PTOTAL,0.17600000000,Sin valoración,"213626","4096011","30",CHGv,mg P/l
"POINT (204043.000035084 4083086.00001597)","95",GV90031,PTOTAL,0.25540000000,< Valor frontera,"204043","4083086","30",CHGv,mg P/l
"POINT (193714.999956446 4099292.00004606)","96",GV90033,PTOTAL,0.13966666667,Sin valoración,"193715","4099292","30",CHGv,mg P/l
"POINT (198929.000023392 4084005.99995742)","97",GV90034,PTOTAL,2.60000000000,> Valor frontera,"198929","4084006","30",CHGv,mg P/l
"POINT (154826.99998024 4120270.00001069)","98",AA00000816,PTOTAL,1.49750000000,No se puede evaluar,"154827","4120270","30",TOP,mg P/l
"POINT (155079.000017284 4120023.99999759)","99",AA00000817,PTOTAL,1.56275000000,No se puede evaluar,"155079","4120024","30",TOP,mg P/l
"POINT (154423.999957804 4120988.00003898)","100",AA00000818,PTOTAL,2.75250000000,No se puede evaluar,"154424","4120988","30",TOP,mg P/l
"POINT (229007.999999617 4046448.00003098)","101",AA00000798,PTOTAL,2.19000000000,No se puede evaluar,"229008","4046448","30",GB,mg P/l
"POINT (210674.00003751 4060355.99997685)","102",AA00000819,PTOTAL,0.25400000000,> Valor frontera,"210674","4060356","30",GB,mg P/l
"POINT (526177.000025882 4413182.99996348)","103","400422",PTOTAL,0.02500000000,< Valor frontera,"526177","4413183","30",CHGn,mg P/l
"POINT (472825.99997274 4383485.00004553)","104","400423",PTOTAL,0.32333333333,> Valor frontera,"472826","4383485","30",CHGn,mg P/l
"POINT (469312.999995967 4376560.00003719)","105","400424",PTOTAL,0.07025000000,< Valor frontera,"469313","4376560","30",CHGn,mg P/l
"POINT (470148.999979468 4373373.00004985)","106","400425",PTOTAL,0.85666666667,> Valor frontera,"470149","4373373","30",CHGn,mg P/l
"POINT (472625.999983643 4375695.99999273)","107","400426",PTOTAL,0.12475000000,Sin valoración,"472626","4375696","30",CHGn,mg P/l
"POINT (477869.999992677 4372130.00002965)","108","400427",PTOTAL,2.42366666667,> Valor frontera,"477870","4372130","30",CHGn,mg P/l
"POINT (475634.999988809 4363085.99999401)","109","400429",PTOTAL,4.64500000000,> Valor frontera,"475635","4363086","30",CHGn,mg P/l
"POINT (477804.00000782 4362570.99996838)","110","400430",PTOTAL,0.64375000000,> Valor frontera,"477804","4362571","30",CHGn,mg P/l
"POINT (510572.000023927 4360196.00002018)","111","400431",PTOTAL,0.03866666667,< Valor frontera,"510572","4360196","30",CHGn,mg P/l
"POINT (511677.999952618 4363095.9999742)","112","400433",PTOTAL,0.16700000000,> Valor frontera,"511678","4363096","30",CHGn,mg P/l
"POINT (485261.99997299 4368314.00005148)","113","400434",PTOTAL,0.13000000000,> Valor frontera,"485262","4368314","30",CHGn,mg P/l
"POINT (513953.99999962 4364759.99999512)","114","400435",PTOTAL,0.06180000000,< Valor frontera,"513954","4364760","30",CHGn,mg P/l
"POINT (524434.999985744 4362061.99997644)","115","400436",PTOTAL,0.93250000000,> Valor frontera,"524435","4362062","30",CHGn,mg P/l
"POINT (418733.999955667 4337044.9999598)","116","400437",PTOTAL,0.07400000000,< Valor frontera,"418734","4337045","30",CHGn,mg P/l
"POINT (509120.999973101 4314613.00000842)","117","400438",PTOTAL,0.02500000000,No se puede evaluar,"509121","4314613","30",CHGn,mg P/l
"POINT (510852.000034212 4312221.00002922)","118","400439",PTOTAL,0.02500000000,No se puede evaluar,"510852","4312221","30",CHGn,mg P/l
"POINT (516301.999956942 4307971.00003834)","119","400440",PTOTAL,0.02000000000,No se puede evaluar,"516302","4307971","30",CHGn,mg P/l
"POINT (514189.000046956 4309223.99996011)","120","400441",PTOTAL,0.02500000000,No se puede evaluar,"514189","4309224","30",CHGn,mg P/l
"POINT (512183.000002098 4311328.99997762)","121","400444",PTOTAL,0.02500000000,No se puede evaluar,"512183","4311329","30",CHGn,mg P/l
"POINT (511755.000029785 4311608.99996316)","122","400445",PTOTAL,0.03350000000,No se puede evaluar,"511755","4311609","30",CHGn,mg P/l
"POINT (511839.999992266 4311282.99997519)","123","400446",PTOTAL,0.02500000000,No se puede evaluar,"511840","4311283","30",CHGn,mg P/l
"POINT (512537.000006747 4310339.99997657)","124","400447",PTOTAL,0.02125000000,No se puede evaluar,"512537","4310340","30",CHGn,mg P/l
"POINT (513133.999958876 4310032.99997098)","125","400448",PTOTAL,0.02500000000,No se puede evaluar,"513134","4310033","30",CHGn,mg P/l
"POINT (514033.999991723 4308866.00002864)","126","400449",PTOTAL,0.02500000000,No se puede evaluar,"514034","4308866","30",CHGn,mg P/l
"POINT (509683.000052735 4312995.0000438)","127","400451",PTOTAL,0.02300000000,No se puede evaluar,"509683","4312995","30",CHGn,mg P/l
"POINT (427664.000044669 4308179.00002373)","128","400452",PTOTAL,0.35100000000,> Valor frontera,"427664","4308179","30",CHGn,mg P/l
"POINT (434231.999964264 4329511.99996836)","129","400477",PTOTAL,0.11975000000,Sin valoración,"434232","4329512","30",CHGn,mg P/l
"POINT (472299.000045981 4394811.00002421)","130","400518",PTOTAL,1.15666666667,> Valor frontera,"472299","4394811","30",CHGn,mg P/l
"POINT (515421.000000089 4308505.00003984)","131","400570",PTOTAL,0.02500000000,No se puede evaluar,"515421","4308505","30",CHGn,mg P/l
"POINT (471013.999996415 4366880.00001976)","132","400578",PTOTAL,0.07525000000,< Valor frontera,"471014","4366880","30",CHGn,mg P/l
"POINT (504817.999973073 4362834.99999738)","133","400583",PTOTAL,0.21033333333,> Valor frontera,"504818","4362835","30",CHGn,mg P/l
"POINT (408556.000043651 4310559.00003495)","134","400587",PTOTAL,19.70000000000,> Valor frontera,"408556","4310559","30",CHGn,mg P/l
"POINT (392171.999959824 4299775.000031)","135","400588",PTOTAL,0.02500000000,< Valor frontera,"392172","4299775","30",CHGn,mg P/l
"POINT (382179.000007197 4313040.00001656)","136","400589",PTOTAL,0.09500000000,> Valor frontera,"382179","4313040","30",CHGn,mg P/l
"POINT (174167.00001715 4288672.99995473)","137","400590",PTOTAL,1.33500000000,> Valor frontera,"174167","4288673","30",CHGn,mg P/l
"POINT (517751.999968613 4302905.99995765)","138","400591",PTOTAL,0.02500000000,No se puede evaluar,"517752","4302906","30",CHGn,mg P/l
"POINT (446612.99996816 4328240.99997724)","139","400669",PTOTAL,0.40333333333,No se puede evaluar,"446613","4328241","30",CHGn,mg P/l
"POINT (544460.999992601 4310598.99997297)","140","400672",PTOTAL,0.03800000000,No se puede evaluar,"544461","4310599","30",CHGn,mg P/l
"POINT (479257.000022819 4360728.00004519)","141","400675",PTOTAL,1.05500000000,< Valor frontera,"479257","4360728","30",CHGn,mg P/l
"POINT (514392.000030328 4356110.00004357)","142","400676",PTOTAL,0.04866666667,< Valor frontera,"514392","4356110","30",CHGn,mg P/l
